Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery,Total
t150,-0.0,-0.0,8098.302219150001,-0.0,-0.0,2773.190291239924,0.0,0.0,-0.0,10871.492510389926
t151,-0.0,-0.0,8241.30221915,-0.0,-0.0,3353.154439355197,0.0,0.0,-0.0,11594.456658505198
t152,-0.0,-0.0,8392.30221915,-0.0,-0.0,3964.654507787425,0.0,0.0,-0.0,12356.956726937426
t153,-0.0,767.1298521591253,8547.302219150002,-0.0,-0.0,3809.0362266637626,0.0,0.0,-0.0,13123.46829797289
t154,0.0,1656.8864093102297,8640.302219150002,-0.0,-0.0,3280.1294194326197,0.0,0.0,-0.0,13577.318047892852
t155,-0.0,2231.7245513158196,8667.30221915,-0.0,-0.0,2799.707471126939,0.0,0.0,-0.0,13698.73424159276
t156,-0.0,2601.641654746773,8645.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13930.605799788338
t157,-0.0,2649.714582285157,8595.302219150002,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13928.678727326724
t158,-0.0,2571.086827921529,8539.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13794.050972963096
t159,-0.0,2074.8764402795673,8500.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13258.840585321133
t160,0.0,1218.1190960997264,8527.30221915,-0.0,-0.0,3265.686070091281,0.0,0.0,0.0,13011.107385341009
t161,-0.0,225.2909231247989,8716.30221915,-0.0,-0.0,5047.400460829312,0.0,0.0,0.0,13988.99360310411
t162,-0.0,-0.0,8906.302219150002,-0.0,-0.0,5457.307694,578.6099131500002,0.0,0.0,14942.219826300001
t163,-0.0,-0.0,8872.30221915,-0.0,-0.0,5441.307694,455.6099131499991,0.0,0.0,14769.219826300001
t164,0.0,-0.0,8778.302219150002,-0.0,-0.0,4905.886204528296,606.4865304309506,0.0,0.0,14290.674954109247
t165,-0.0,-0.0,8688.302219150002,-0.0,-0.0,5163.217968838064,0.0,0.0,0.0,13851.520187988066
t166,-0.0,-0.0,8560.302219150002,-0.0,-0.0,4641.266114654822,0.0,0.0,0.0,13201.568333804824
t167,-0.0,-0.0,8391.30221915,-0.0,-0.0,3959.5552632842837,0.0,0.0,0.0,12350.857482434283
t168,-0.0,-0.0,8206.30221915,-0.0,-0.0,3209.6733267766926,0.0,0.0,0.0,11415.975545926693
t169,-0.0,-0.0,8050.3022191499995,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10733.964145041566
t170,-0.0,-0.0,7960.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10643.964145041566
t171,-0.0,-0.0,7907.302219150001,-0.0,-0.0,2683.6619258915657,0.0,-0.0,0.0,10590.964145041567
t172,-0.0,-0.0,7893.30221915,-0.0,-0.0,2683.6619258915657,0.0,-0.0,0.0,10576.964145041566
t173,-0.0,-0.0,7908.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10591.964145041566
t174,-0.0,-0.0,7965.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10648.964145041566
t175,-0.0,-0.0,8076.302219150001,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,10759.964145041567
t176,-0.0,-0.0,8192.30221915,-0.0,-0.0,3154.740428447175,0.0,0.0,0.0,11347.042647597176
t177,-0.0,837.6096527026881,8354.302219150002,-0.0,-0.0,2955.7594716390054,0.0,0.0,0.0,12147.671343491695
t178,-0.0,1669.1083400403274,8480.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,12833.072485081893
t179,-0.0,2274.9087065621648,8559.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13517.87285160373
t180,-0.0,1896.8436493111458,8608.302219150002,-0.0,-0.0,2903.1266684477255,0.0,0.0,0.0,13408.272536908873
t181,-0.0,2363.721403200874,8616.30221915,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13663.68554824244
t182,-0.0,2429.719829143401,8601.302219150002,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13714.683974184969
t183,-0.0,2082.209598717626,8592.302219150002,-0.0,-0.0,2683.6619258915657,0.0,0.0,0.0,13358.173743759193
t184,-0.0,1468.668676066727,8630.302219150002,-0.0,-0.0,3426.2891117345844,0.0,0.0,-0.0,13525.260006951314
t185,-0.0,489.69202458591,8861.30221915,-0.0,-0.0,5359.7551340958835,0.0,0.0,-0.0,14710.749377831793
t186,-0.0,-0.0,9101.302219150002,-0.0,-0.0,5550.307694,1256.6099131499993,0.0,-0.0,15908.219826300001
t187,-0.0,-0.0,9096.30221915,-0.0,-0.0,5548.307694,1239.6099131499998,0.0,0.0,15884.219826300001
t188,-0.0,-0.0,9014.30221915,-0.0,-0.0,5508.307694,954.6099131499997,-0.0,0.0,15477.219826300001
t189,-0.0,-0.0,8907.30221915,-0.0,-0.0,5457.307694,580.6099131499991,-0.0,0.0,14945.219826300001
t190,-0.0,-0.0,8732.30221915,-0.0,-0.0,5374.307694,0.0,0.0,0.0,14106.609913150001
t191,-0.0,-0.0,8501.30221915,-0.0,-0.0,5264.307693999999,0.0,0.0,0.0,13765.60991315
t192,-0.0,-0.0,8300.30221915,-0.0,-0.0,4872.51843185063,0.0,0.0,0.0,13172.820651000631
t193,-0.0,-0.0,8167.30221915,-0.0,-0.0,3052.9937251919077,0.0,0.0,0.0,11220.295944341908
t194,-0.0,-0.0,8104.302219150002,-0.0,-0.0,4079.9020860198007,0.0,0.0,0.0,12184.204305169802
t195,-0.0,-0.0,8080.302219150001,-0.0,-0.0,2699.9199615997304,0.0,0.0,0.0,10780.222180749732
t196,-0.0,-0.0,8088.30221915,-0.0,-0.0,2732.495579717943,0.0,0.0,0.0,10820.797798867943
t197,-0.0,-0.0,8166.302219150001,-0.0,-0.0,4332.229146356712,0.0,-0.0,0.0,12498.531365506713
t198,-0.0,-0.0,8390.302219150002,-0.0,-0.0,4065.892659694926,0.0,-0.0,0.0,12456.194878844928
t199,-0.0,-0.0,8793.302219150002,-0.0,-0.0,5402.307693999999,178.60991314999984,-0.0,0.0,14374.219826300001
t200,-0.0,-0.0,9026.30221915,-0.0,-0.0,5514.307693999999,993.6099131499993,-0.0,0.0,15534.2198263
t201,-0.0,645.3179425491528,9048.30221915,-0.0,-0.0,5525.307693999999,428.2919706008467,-0.0,0.0,15647.2198263
t202,-0.0,1467.8538806847203,9051.30221915,-0.0,-0.0,5135.456755037391,0.0,0.0,0.0,15654.612854872114
t203,-0.0,1868.3258109409182,9050.30221915,-0.0,-0.0,4720.916803829455,0.0,0.0,0.0,15639.544833920372
t204,-0.0,1974.6566082927673,9023.30221915,-0.0,-0.0,4504.629509288862,0.0,0.0,-0.0,15502.588336731631
t205,-0.0,2406.4981607562154,8971.30221915,-0.0,-0.0,4699.305863789694,0.0,0.0,-0.0,16077.10624369591
t206,-0.0,3118.2219269388984,8938.302219150002,-0.0,-0.0,2995.4705527847364,0.0,0.0,-0.0,15051.994698873637
t207,-0.0,2345.388507105727,8896.30221915,-0.0,-0.0,3613.7260779778767,0.0,0.0,0.0,14855.416804233604
t208,-0.0,1637.3313201420735,8906.302219150002,-0.0,-0.0,5457.307694,0.0,0.0,0.0,16000.941233292077
t209,449.4071677752878,627.7998418360128,9106.30221915,-0.0,-0.0,5553.307694,199.4029035387,0.0,0.0,15936.2198263
t210,960.2717260155722,-0.0,9376.30221915,-0.0,-0.0,5681.307693999999,1259.338187134428,0.0,0.0,17277.2198263
t211,960.2717260155722,-0.0,9367.30221915,-0.0,-0.0,5677.307693999999,1230.3381871344282,0.0,0.0,17235.2198263
t212,958.7739687072301,-0.0,9275.30221915,-0.0,-0.0,5633.307694,909.8359444427692,0.0,0.0,16777.2198263
t213,960.2717260155722,-0.0,9141.30221915,-0.0,-0.0,5569.307694,440.3381871344272,0.0,0.0,16111.219826299997
t214,449.4071677752878,-0.0,8921.30221915,-0.0,-0.0,5464.307693999999,179.20274537471133,-0.0,0.0,15014.219826299997
t215,-0.0,-0.0,8640.302219150002,-0.0,-0.0,5330.307694,0.0,-0.0,0.0,13970.609913150001
t216,-0.0,-0.0,8392.30221915,-0.0,-0.0,5211.307693999999,0.0,-0.0,0.0,13603.60991315
t217,-0.0,-0.0,8229.302219150002,-0.0,-0.0,3303.281087727563,0.0,-0.0,0.0,11532.583306877565
t218,-0.0,-0.0,8148.30221915,-0.0,-0.0,2973.643999949202,0.0,-0.0,0.0,11121.946219099202
