Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,Onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,MA_battery,CT_battery,ME_battery
120,1,0,1,0.031066958,0,1,1,1,1
121,1,0,1,0.097598262,0,1,1,1,1
122,1,0,1,0.058144085,0,1,1,1,1
123,1,0,1,0.142925054,0,1,1,1,1
124,1,0,1,0.373674929,0,1,1,1,1
125,1,0,1,0.434153348,0,1,1,1,1
126,1,0,1,0.435889482,0,1,1,1,1
127,1,0,1,0.563583791,0,1,1,1,1
128,1,0,1,0.845474541,0,1,1,1,1
129,1,0.1023,1,0.694941878,0.139,1,1,1,1
130,1,0.2939,1,0.832901537,0.4082,1,1,1,1
131,1,0.5036,1,0.784772754,0.5689,1,1,1,1
132,1,0.62,1,0.584573805,0.6386,1,1,1,1
133,1,0.5947,1,0.526055634,0.5749,1,1,1,1
134,1,0.4261,1,0.535089731,0.557,1,1,1,1
135,1,0.3649,1,0.20891723,0.3724,1,1,1,1
136,1,0.1992,1,0.3200486,0.1936,1,1,1,1
137,1,0.0151,1,0.762181401,0.0704,1,1,1,1
138,1,0,1,0.967575073,0,1,1,1,1
139,1,0,1,0.947055817,0,1,1,1,1
140,1,0,1,0.922798336,0,1,1,1,1
141,1,0,1,0.981649756,0,1,1,1,1
142,1,0,1,0.987221539,0,1,1,1,1
143,1,0,1,0.972513497,0,1,1,1,1
144,1,0,1,0.921534657,0,1,1,1,1
145,1,0,1,0.942537785,0,1,1,1,1
146,1,0,1,0.942126811,0,1,1,1,1
147,1,0,1,0.740993917,0,1,1,1,1
148,1,0,1,0.56838423,0,1,1,1,1
149,1,0,1,0.254551947,0,1,1,1,1
150,1,0,1,0.088092998,0,1,1,1,1
151,1,0,1,0.153454423,0,1,1,1,1
152,1,0,1,0.125184193,0,1,1,1,1
153,1,0.1883,1,0.232314631,0.1888,1,1,1,1
154,1,0.4067,1,0.527668715,0.418,1,1,1,1
155,1,0.5478,1,0.643087626,0.5584,1,1,1,1
156,1,0.6386,1,0.444231838,0.6543,1,1,1,1
157,1,0.6504,1,0.497035325,0.6701,1,1,1,1
158,1,0.6311,1,0.564896762,0.647,1,1,1,1
159,1,0.5093,1,0.640720606,0.5124,1,1,1,1
160,1,0.299,1,0.400899559,0.316,1,1,1,1
161,1,0.0553,1,0.538941324,0.1148,1,1,1,1
162,1,0,1,0.923362017,0,1,1,1,1
163,1,0,1,0.840292275,0,1,1,1,1
164,1,0,1,0.243614614,0,1,1,1,1
165,1,0,1,0.643543959,0,1,1,1,1
166,1,0,1,0.796087563,0,1,1,1,1
167,1,0,1,0.903208315,0,1,1,1,1
168,1,0,1,0.935438216,0,1,1,1,1
169,1,0,1,0.997932076,0,1,1,1,1
170,1,0,1,0.982208312,0,1,1,1,1
171,1,0,1,0.986259937,0,1,1,1,1
172,1,0,1,0.994179308,0,1,1,1,1
173,1,0,1,0.966724813,0,1,1,1,1
174,1,0,1,0.938414276,0,1,1,1,1
175,1,0,1,0.819656253,0,1,1,1,1
176,1,0,1,0.804335475,0,1,1,1,1
177,1,0.2056,1,0.796525359,0.1964,1,1,1,1
178,1,0.4097,1,0.6475963,0.35,1,1,1,1
179,1,0.5584,1,0.803939998,0.4004,1,1,1,1
180,1,0.4656,1,0.813347638,0.5397,1,1,1,1
181,1,0.5802,1,0.786184669,0.5759,1,1,1,1
182,1,0.5964,1,0.809754848,0.508,1,1,1,1
183,1,0.5111,1,0.920710862,0.4839,1,1,1,1
184,1,0.3605,1,0.424674869,0.3378,1,1,1,1
185,1,0.1202,1,0.673590124,0.1348,1,1,1,1
186,1,0,1,0.722590208,0,1,1,1,1
187,1,0,1,0.807032704,0,1,1,1,1
188,1,0,1,0.794338346,0,1,1,1,1
189,1,0,1,0.920866907,0,1,1,1,1
190,1,0,1,0.775906444,0,1,1,1,1
191,1,0,1,0.790116549,0,1,1,1,1
192,1,0,1,0.313982964,0,1,1,1,1
193,1,0,1,0.228863105,0,1,1,1,1
194,1,0,1,0.186610132,0,1,1,1,1
195,1,0,1,0.168072969,0,1,1,1,1
196,1,0,1,0.099481188,0,1,1,1,1
197,1,0,1,0.07131198,0,1,1,1,1
198,1,0,1,0.141474232,0,1,1,1,1
199,1,0,1,0.174716681,0,1,1,1,1
200,1,0,1,0.109989181,0,1,1,1,1
201,1,0.1584,1,0.090794012,0.1776,1,1,1,1
202,1,0.3603,1,0.030788897,0.3604,1,1,1,1
203,1,0.4586,1,0.016659057,0.4766,1,1,1,1
204,1,0.4847,1,0.026496863,0.5273,1,1,1,1
205,1,0.5907,1,0.016100235,0.6539,1,1,1,1
206,1,0.7654,1,0.063318081,0.7914,1,1,1,1
207,1,0.5757,1,0.212307662,0.5949,1,1,1,1
208,1,0.4019,1,0.184758514,0.4277,1,1,1,1
209,1,0.1541,1,0.409239978,0.1815,1,1,1,1
210,1,0,1,0.85537678,0,1,1,1,1
211,1,0,1,0.717418909,0,1,1,1,1
212,1,0,1,0.363580614,0,1,1,1,1
213,1,0,1,0.317670733,0,1,1,1,1
214,1,0,1,0.271577805,0,1,1,1,1
215,1,0,1,0.311569244,0,1,1,1,1
216,1,0,1,0.221334517,0,1,1,1,1
217,1,0,1,0.171090662,0,1,1,1,1
218,1,0,1,0.079606064,0,1,1,1,1
219,1,0,1,0.189559758,0,1,1,1,1
220,1,0,1,0.259287894,0,1,1,1,1
221,1,0,1,0.127237305,0,1,1,1,1
222,1,0,1,0.17743887,0,1,1,1,1
223,1,0,1,0.27053991,0,1,1,1,1
224,1,0,1,0.18752566,0,1,1,1,1
225,1,0.1709,1,0.695573568,0.1778,1,1,1,1
226,1,0.3428,1,0.131348357,0.3614,1,1,1,1
227,1,0.4545,1,0.239212155,0.4885,1,1,1,1
228,1,0.5223,1,0.310001045,0.5863,1,1,1,1
229,1,0.5971,1,0.416327089,0.5876,1,1,1,1
230,1,0.6098,1,0.421913445,0.5302,1,1,1,1
231,1,0.5176,1,0.579014182,0.4279,1,1,1,1
232,1,0.3503,1,0.643352985,0.2873,1,1,1,1
233,1,0.1105,1,0.790205538,0.1142,1,1,1,1
234,1,0,1,0.734749496,0,1,1,1,1
235,1,0,1,0.901278973,0,1,1,1,1
236,1,0,1,0.443615586,0,1,1,1,1
237,1,0,1,0.563726008,0,1,1,1,1
238,1,0,1,0.776801109,0,1,1,1,1
239,1,0,1,0.593942106,0,1,1,1,1
240,1,0,1,0.759970427,0,1,1,1,1
241,1,0,1,0.504448533,0,1,1,1,1
242,1,0,1,0.487716585,0,1,1,1,1
243,1,0,1,0.197554901,0,1,1,1,1
244,1,0,1,0.051789507,0,1,1,1,1
245,1,0,1,0.297564685,0,1,1,1,1
246,1,0,1,0.620805919,0,1,1,1,1
247,1,0,1,0.506251514,0,1,1,1,1
248,1,0,1,0.369528323,0,1,1,1,1
249,1,0.1904,1,0.075398572,0.1817,1,1,1,1
250,1,0.3998,1,0.052092776,0.3776,1,1,1,1
251,1,0.5013,1,0.000912532,0.5216,1,1,1,1
252,1,0.5482,1,0.003804801,0.6342,1,1,1,1
253,1,0.5471,1,0.004665192,0.6809,1,1,1,1
254,1,0.5638,1,0.034942862,0.6637,1,1,1,1
255,1,0.4942,1,0.130620405,0.5758,1,1,1,1
256,1,0.358,1,0.209739819,0.4076,1,1,1,1
257,1,0.1237,1,0.270353645,0.1352,1,1,1,1
258,1,0,1,0.587898731,0,1,1,1,1
259,1,0,1,0.801127791,0,1,1,1,1
260,1,0,1,0.471754193,0,1,1,1,1
261,1,0,1,0.497119367,0,1,1,1,1
262,1,0,1,0.433294594,0,1,1,1,1
